epoch,train f1 score,val f1 score
1,0.21345982804624963,0.13839662447257386
2,0.4134991119005329,0.6186046511627907
3,0.6827529476281875,0.7673593512417639
4,0.7716254146465935,0.8037848605577689
5,0.81892901618929,0.8413860419716934
6,0.8499078057775046,0.8620850864890136
7,0.8777345649003403,0.8765957446808511
8,0.8987510609918757,0.8733874820831343
9,0.9176527408838444,0.8693208430913348
10,0.9330779360708729,0.8890959925442685
11,0.94845114220787,0.8852005532503457
12,0.9593437945791725,0.8871342313051557
13,0.973543718116028,0.8842504743833017
14,0.9788799240626485,0.8876456876456877
15,0.9825932504440498,0.8794392523364487
16,0.9867424242424242,0.8889934148635935
17,0.9894761735840132,0.8857412653446646
18,0.9898152534343914,0.8835041938490215
19,0.9881656804733727,0.881211547562707
20,0.9900544636514326,0.8857545839210155
