epoch,train f1 score,val f1 score
1,0.22608844703462463,0.23999999999999996
2,0.4279187323806746,0.5936042638241172
3,0.647435390816407,0.6831095847642835
4,0.7169639468690703,0.741907261592301
5,0.760561288885589,0.7654465592972182
6,0.7945406515996478,0.7814879906268306
7,0.8201000652599522,0.7972508591065292
8,0.8407881490004315,0.8058671268334773
9,0.860759493670886,0.8138552520416783
10,0.8813414807446354,0.8077144502014968
11,0.9042448173741362,0.8178770949720671
12,0.9186837858696414,0.807411566535654
13,0.9411107230178134,0.8232965790217699
14,0.9510918858578107,0.8193172356369691
15,0.963307852675469,0.8204693242861181
16,0.9775374376039934,0.8171444475368774
17,0.9848988639512329,0.8173719376391981
18,0.9892726140217317,0.8187134502923977
19,0.9898445595854921,0.817347789824854
20,0.9903945822679842,0.8142201834862386
21,0.9840940525587828,0.8144591923185541
22,0.9861649142224683,0.8199554069119286
23,0.9918508287292818,0.8166666666666667
